Product Name,Product Code,Crop Category,Crop Name,Hybrid / Variety Type,Short Description,Full Description,Key Features,Traits,Suitable Region,Suitable Season,Duration,Product Image URL,Downloaded Image Filename,PDF / Brochure URL,Downloaded PDF Filename,Old Product Page URL,Status,Display Order,Notes
TMMH 846,TMMH846,Field Crops,Product of Nepal,Hybrid,"• Maize hybrid with high yield potential
• Medium maturity (Kharif: 90 – 100 days) hybrid
• Semi-erect plant habit
• Cobs with 14-16 rows
• Number of grains I row: 35-40
• Attractive orange semi-flint grains
• Suitable for rainfed growing conditions during Kharif season",,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/11/TMMH-846-NEPALI-3d-POUCH-300x300.png?lossy=2&strip=1&webp=1,TMMH846.jpg,,TMMH846.pdf,https://trimurti.in/product/tmmh-846-2/,Active,1,
TMRV 1626,TMRV1626,Field Crops,,Variety,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/11/TMRV-1626-3d-Pouch-300x300.png?lossy=2&strip=1&webp=1,TMRV1626.jpg,,TMRV1626.pdf,https://trimurti.in/product/tmrv-1626/,Active,2,
Trinath (TMMH 806),TMMH806,Field Crops,,Hybrid,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/11/Untitled-1-300x300.png?lossy=2&strip=1&webp=1,TMMH806.jpg,,TMMH806.pdf,https://trimurti.in/product/trinath-tmmh-806/,Active,3,
TMMH 2858,TMMH2858,Field Crops,Products Of Nepal,Hybrid,"• Premium Maize hybrid with very high yield potential
• Full season maturity [Rabi: 120-130 days]
• Suitable for high density planting
• Long cobs with 16-18 rows &amp; 45-50 grains / row
• High shelling percent
• Attractive orange semi-flint grains
suitable for high management growing conditions du",,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/11/TMMH-2858.png?lossy=2&strip=1&webp=1,TMMH2858.jpg,,TMMH2858.pdf,https://trimurti.in/product/tmmh-2855-2/,Active,4,
BADRINATH (TMRV 1666),TMRV1666,Field Crops,,Variety,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/07/BADRINATH-3d-POUCH-1-300x300.png?lossy=2&strip=1&webp=1,TMRV1666.jpg,,TMRV1666.pdf,https://trimurti.in/product/badrinath-tmrv-1666/,Active,5,
TMRV 1734,TMRV1734,Field Crops,,Variety,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2026/04/TMRV-1734-3d-LQ-Pouch-300x300.jpg?lossy=2&strip=1&webp=1,TMRV1734.jpg,,TMRV1734.pdf,https://trimurti.in/product/tmrv-1734/,Active,6,
BAPPI (TMRV 1686),TMRV1686,Field Crops,,Variety,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2025/07/BAPPI-1686-NEW-3d-POUCH-300x300.png?lossy=2&strip=1&webp=1,TMRV1686.jpg,,TMRV1686.pdf,https://trimurti.in/product/bappi-tmrv-1686/,Active,7,
PR 126,,Field Crops,,Variety,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2026/03/PR126-3D-Pouch-we-300x300.png?lossy=2&strip=1&webp=1,pr-126.jpg,,pr-126.pdf,https://trimurti.in/product/pr-126/,Active,8,
TMRH 5786,TMRH5786,Field Crops,,Hybrid,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2023/10/TMRH_5786_web_-HR-min-300x300.png?lossy=2&strip=1&webp=1,TMRH5786.jpg,,TMRH5786.pdf,https://trimurti.in/product/tmrh-5786/,Active,9,
Kamakshi (TMRH 102),TMRH102,Field Crops,,Hybrid,,,,,,,,https://b4288757.smushcdn.com/4288757/wp-content/uploads/2023/10/Kamakshi_web_-HR-min-300x300.png?lossy=2&strip=1&webp=1,TMRH102.jpg,,TMRH102.pdf,https://trimurti.in/product/kamakshi/,Active,10,
